,rank,player,fg,fga,pct,lg,1-19,20-29,30-39,40-49,50+,xpt,xpa,g,fpts,fpts/g,rost,Season,pid,pos
0,1,Harrison Butker (KC),34,38,89.5,56,0,9,9,13,3,45,48,16,166.0,10.4,95.1%,2019,16712,k
1,2,Wil Lutz (DEN),32,36,88.9,58,1,9,6,13,3,48,49,16,163.0,10.2,0.9%,2019,16026,k
2,3,Justin Tucker (BAL),28,29,96.6,51,0,8,9,10,1,57,59,16,153.0,9.6,99.6%,2019,11465,k
3,4,Matt Gay (IND),27,35,77.1,58,0,6,5,11,5,43,48,16,145.0,9.1,51.1%,2019,18545,k
4,5,Zane Gonzalez (FA),31,35,88.6,54,0,12,12,5,2,34,35,16,136.0,8.5,0.1%,2019,16548,k
5,6,Josh Lambo (FA),33,34,97.1,56,0,12,9,8,4,19,20,16,134.0,8.4,0.1%,2019,14327,k
6,7,Matt Prater (ARI),26,31,83.9,56,0,11,2,6,7,35,36,16,133.0,8.3,1.9%,2019,9443,k
7,8,Dan Bailey (FA),27,29,93.1,50,0,10,9,5,3,40,44,16,132.0,8.3,0.0%,2019,10970,k
8,9,Brandon McManus (FA),29,34,85.3,53,0,6,8,11,4,25,26,16,131.0,8.2,0.1%,2019,13274,k
9,10,Greg Zuerlein (NYJ),24,33,72.7,58,0,7,7,5,5,42,42,16,129.0,8.1,73.1%,2019,11345,k
10,11,Chris Boswell (PIT),29,31,93.5,51,1,11,7,9,1,28,28,16,126.0,7.9,3.7%,2019,13029,k
11,12,Joey Slye (NE),25,32,78.1,55,0,3,5,6,8,31,35,16,119.0,7.4,0.1%,2019,19028,k
12,13,Randy Bullock (FA),27,31,87.1,57,0,10,6,10,1,24,25,16,117.0,7.3,0.0%,2019,11339,k
13,14,Jason Myers (SEA),23,28,82.1,54,0,6,11,4,2,40,44,16,117.0,7.3,4.6%,2019,14003,k
14,15,Jason Sanders (MIA),23,30,76.7,54,0,7,8,5,3,29,30,16,116.1,7.3,12.1%,2019,17533,k
15,16,Austin Seibert (NYJ),25,29,86.2,53,0,6,9,9,1,30,35,16,116.0,7.3,0.0%,2019,18689,k
16,17,Robbie Gould (FA),23,31,74.2,47,0,9,8,6,0,41,42,13,116.0,8.9,0.1%,2019,9534,k
17,18,Mason Crosby (FA),22,24,91.7,54,1,2,11,7,1,40,41,16,115.0,7.2,0.1%,2019,9433,k
18,19,Ka'imi Fairbairn (HOU),20,25,80.0,54,0,5,8,4,3,40,45,16,110.0,6.9,91.4%,2019,15756,k
19,20,Jake Elliott (PHI),22,26,84.6,53,0,7,8,5,2,35,37,16,109.0,6.8,98.3%,2019,16540,k
20,21,Dustin Hopkins (CLE),25,30,83.3,53,0,7,8,8,2,21,22,16,108.0,6.8,16.9%,2019,11818,k
21,22,Brett Maher (FA),20,30,66.7,63,0,9,6,1,4,36,36,13,105.0,8.1,0.0%,2019,12378,k
22,23,Eddy Pineiro (CAR),23,28,82.1,53,1,8,9,3,2,27,29,16,103.0,6.4,2.7%,2019,17575,k
23,24,Stephen Hauschka (FA),22,28,78.6,51,0,5,7,8,1,30,32,16,103.0,6.4,0.0%,2019,9581,k
24,25,Daniel Carlson (LV),19,26,73.1,48,0,8,5,6,0,34,36,16,97.0,6.1,4.4%,2019,17420,k
25,26,Sam Ficken (FA),19,27,70.4,54,0,2,7,7,3,23,26,15,93.0,6.2,0.0%,2019,16319,k
26,27,Younghoe Koo (ATL),23,26,88.5,50,0,6,9,7,1,15,16,8,93.0,11.6,80.5%,2019,16910,k
27,28,Chase McLaughlin (TB),18,23,78.3,50,1,5,4,5,3,26,26,11,91.0,8.3,4.0%,2019,19058,k
28,29,Adam Vinatieri (FA),17,25,68.0,55,0,6,6,3,2,22,28,12,80.0,6.7,0.2%,2019,9004,k
29,30,Aldrick Rosas (FA),12,17,70.6,45,0,6,5,1,0,35,39,16,72.0,4.5,0.0%,2019,16072,k
30,31,Michael Badgley (DET),13,16,81.3,49,0,5,2,6,0,19,19,9,64.0,7.1,2.7%,2019,17693,k
31,32,Nick Folk (TEN),14,17,82.4,51,1,5,3,4,1,12,12,7,60.0,8.6,3.0%,2019,9491,k
32,33,Kai Forbath (LAR),11,11,100.0,50,0,2,1,7,1,11,12,5,53.0,10.6,0.0%,2019,10081,k
33,34,Matt Bryant (FA),9,14,64.3,52,0,1,3,3,2,14,15,8,48.0,6.0,0.1%,2019,9434,k
34,35,Ty Long (FA),7,9,77.8,51,0,0,2,4,1,9,9,16,36.0,2.3,0.7%,2019,14347,k
35,36,Mike Nugent (FA),5,8,62.5,37,0,3,2,0,0,15,16,5,30.0,6.0,0.0%,2019,9474,k
36,37,Stephen Gostkowski (FA),7,8,87.5,41,0,2,3,1,0,11,15,4,30.0,7.5,0.1%,2019,9573,k
37,38,Cairo Santos (CHI),4,9,44.4,53,0,0,1,2,1,12,12,5,28.0,5.6,27.9%,2019,13731,k
38,39,Ryan Succop (FA),1,6,16.7,31,0,0,1,0,0,24,25,7,27.0,3.9,0.0%,2019,9549,k
39,40,Cody Parkey (FA),3,3,100.0,51,0,0,0,2,1,5,6,4,18.0,4.5,0.1%,2019,13806,k
40,41,Greg Joseph (GB),0,0,0.0,0,0,0,0,0,0,9,9,3,9.0,3.0,0.2%,2019,17647,k
41,42,Matt McCrane (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,17893,k
42,43,Ryan Santoso (FA),0,0,0.0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019,17792,k
43,44,Kaare Vedvik (FA),0,1,0.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.2%,2019,17686,k
44,45,Sebastian Janikowski (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0%,2019,9560,k
45,46,Giorgio Tavecchio (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,11145,k
46,47,Kasey Redfern (FA),0,0,0.0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019,15228,k
47,48,Graham Gano (NYG),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,2019,9232,k
48,49,Michael Palardy (FA),0,0,0.0,0,0,0,0,0,0,0,0,16,0.0,0.0,33.3%,2019,13847,k
49,50,Caleb Sturgis (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,11815,k
0,1,Jason Sanders (MIA),36,39,92.3,56,1,8,7,12,8,36,36,16,172.0,10.8,12.1%,2020,17533,k
1,2,Younghoe Koo (ATL),37,39,94.9,54,0,10,11,8,8,33,36,15,168.0,11.2,80.5%,2020,16910,k
2,3,Tyler Bass (BUF),28,34,82.4,58,1,9,6,8,4,57,59,16,157.0,9.8,16.4%,2020,19760,k
3,4,Daniel Carlson (LV),33,35,94.3,54,0,18,8,3,4,45,47,16,155.0,9.7,4.4%,2020,17420,k
4,5,Greg Zuerlein (NYJ),34,41,82.9,59,1,5,13,12,3,33,36,16,153.0,9.6,73.1%,2020,11345,k
5,6,Rodrigo Blankenship (FA),32,37,86.5,53,0,10,12,9,1,43,45,16,150.0,9.4,0.1%,2020,19469,k
6,7,Ryan Succop (FA),28,31,90.3,50,1,10,9,7,1,52,57,16,145.0,9.1,0.0%,2020,9549,k
7,8,Justin Tucker (BAL),26,29,89.7,55,0,8,6,9,3,52,53,16,145.0,9.1,99.6%,2020,11465,k
8,9,Cairo Santos (CHI),30,32,93.8,55,0,9,10,9,2,36,37,16,139.0,8.7,27.9%,2020,13731,k
9,10,Jason Myers (SEA),24,24,100.0,61,0,2,7,13,2,49,53,16,138.0,8.6,4.6%,2020,14003,k
10,11,Brandon McManus (FA),28,34,82.4,58,0,6,4,8,10,24,27,15,136.0,9.1,0.1%,2020,13274,k
11,12,Wil Lutz (DEN),23,28,82.1,53,0,5,10,7,1,57,58,16,135.0,8.4,0.9%,2020,16026,k
12,13,Harrison Butker (KC),25,27,92.6,58,2,7,9,3,4,48,54,16,134.0,8.4,95.1%,2020,16712,k
13,14,Graham Gano (NYG),31,32,96.9,55,0,4,13,9,5,21,23,16,133.0,8.3,0.8%,2020,9232,k
14,15,Ka'imi Fairbairn (HOU),27,31,87.1,54,0,8,9,6,4,37,40,16,132.0,8.3,91.4%,2020,15756,k
15,16,Joey Slye (NE),29,36,80.6,56,0,11,10,7,1,33,36,16,129.0,8.1,0.1%,2020,19028,k
16,17,Dustin Hopkins (CLE),27,34,79.4,51,0,5,7,13,2,30,32,16,128.0,8.0,16.9%,2020,11818,k
17,18,Nick Folk (TEN),26,28,92.9,51,0,6,7,11,2,30,33,16,123.0,7.7,3.0%,2020,9491,k
18,19,Mason Crosby (FA),16,16,100.0,57,1,1,5,5,4,59,63,16,120.0,7.5,0.1%,2020,9433,k
19,20,Michael Badgley (DET),24,33,72.7,53,0,8,6,8,2,36,39,16,120.0,7.5,2.7%,2020,17693,k
20,21,Stephen Gostkowski (FA),18,26,69.2,55,0,2,4,5,7,46,48,15,119.0,7.9,0.1%,2020,9573,k
21,22,Matt Prater (ARI),21,28,75.0,59,0,4,7,4,6,38,41,16,117.0,7.3,1.9%,2020,9443,k
22,23,Cody Parkey (FA),19,22,86.4,46,0,5,4,10,0,43,47,15,110.0,7.3,0.1%,2020,13806,k
23,24,Robbie Gould (FA),19,23,82.6,52,0,3,5,9,2,36,38,15,106.0,7.1,0.1%,2020,9534,k
